Date,Open,High,Low,Close,Adj Close,Volume
1/1/2020,41.326534,42.285019,41.288033,42.017719,42.017719,2782992323
1/2/2020,42.018085,42.134747,39.683567,39.823013,39.823013,2759827139
1/3/2020,39.863129,42.447174,39.450844,42.415573,42.415573,3260961326
1/4/2020,42.383526,43.342705,41.933075,43.326607,43.326607,2843192897
1/5/2020,43.291382,44.733616,42.998535,43.553207,43.553207,3017148033
1/6/2020,43.603893,45.957878,43.494373,45.816353,45.816353,3349237768
1/7/2020,45.83868,46.858387,44.723019,46.424583,46.424583,3611521907
1/8/2020,46.448353,48.202766,44.627048,45.653767,45.653767,3633957130
1/9/2020,45.622269,45.777836,44.310505,45.215931,45.215931,2986327757
1/10/2020,45.21154,49.166721,44.033108,48.727329,48.727329,3808140302
1/11/2020,48.633858,51.334717,48.088394,49.263767,49.263767,3915781115
1/12/2020,49.319157,51.298828,49.012787,51.080738,51.080738,3858852964
1/13/2020,51.122311,51.390354,48.934132,49.733768,49.733768,3336204744
1/14/2020,49.697361,59.881504,49.690269,58.478233,58.478233,5729547956
1/15/2020,58.390266,59.923035,56.166744,58.052849,58.052849,5070738793
1/16/2020,58.047962,58.302067,55.148739,57.618256,57.618256,4347723835
1/17/2020,57.642967,62.889545,56.898815,61.487125,61.487125,5067456613
1/18/2020,61.302834,62.165672,58.525059,59.408646,59.408646,4426051530
1/19/2020,59.445709,61.785957,56.180393,57.800694,57.800694,4197776579
1/20/2020,57.781528,58.088066,56.226814,57.203262,57.203262,3306438947
1/21/2020,57.233521,57.963223,56.271973,57.647881,57.647881,3130143642
1/22/2020,57.639591,58.990894,57.31628,58.354725,58.354725,3076205980
1/23/2020,58.350388,58.4767,53.385658,54.63026,54.63026,3348002983
1/24/2020,54.643814,55.424435,51.364414,54.531788,54.531788,3532776556
1/25/2020,54.564056,54.564056,52.769215,53.697788,53.697788,2938756558
1/26/2020,53.687065,56.475266,53.298935,56.212715,56.212715,3283750798
