Date,Open,High,Low,Close,Adj Close,Volume
2/10/2022,3240.113037,3271.316162,3070.378174,3077.482178,3077.482178,18629485080
2/11/2022,3077.413086,3127.450684,2888.707764,2927.383545,2927.383545,16043881065
2/12/2022,2927.386475,2980.079346,2870.177002,2917.362793,2917.362793,11254355757
2/13/2022,2916.789551,2947.776611,2845.397705,2883.463379,2883.463379,9054963563
2/14/2022,2880.187744,2957.963623,2840.257568,2933.479004,2933.479004,12164552172
2/15/2022,2933.729004,3185.520752,2917.857178,3179.877197,3179.877197,13921257873
2/16/2022,3180.446777,3181.616943,3055.168213,3127.830078,3127.830078,12352406833
2/17/2022,3126.858398,3154.615234,2861.852051,2881.481934,2881.481934,15860206214
2/18/2022,2884.340576,2937.308594,2761.643311,2785.727539,2785.727539,15748173433
2/19/2022,2784.872803,2826.3479,2707.378418,2763.701172,2763.701172,9774183169
2/20/2022,2763.756592,2763.756592,2585.946289,2628.648438,2628.648438,11641437834
2/21/2022,2627.665527,2752.458496,2568.254395,2573.816162,2573.816162,18646392740
2/22/2022,2572.898682,2648.916748,2510.678711,2639.299316,2639.299316,16360200507
2/23/2022,2639.447021,2741.368408,2587.412842,2590.359619,2590.359619,13382637240
2/24/2022,2588.16626,2689.047607,2308.914795,2598.067139,2598.067139,29312342666
2/25/2022,2598.436279,2821.972412,2579.208008,2764.535645,2764.535645,17208902048
2/26/2022,2764.989502,2849.424072,2745.009033,2781.111816,2781.111816,11724648351
2/27/2022,2780.504395,2831.125488,2581.615723,2621.801758,2621.801758,16150857254
2/28/2022,2621.172119,2929.18042,2586.388184,2919.201172,2919.201172,19266124733
3/1/2022,2919.775879,3029.651611,2868.938965,2972.485107,2972.485107,18757425786
3/2/2022,2972.471924,3026.868164,2919.943115,2950.118408,2950.118408,16636517503
3/3/2022,2950.156738,2964.67334,2797.319336,2834.468994,2834.468994,13091199728
3/4/2022,2834.987305,2835.17627,2587.748291,2617.156006,2617.156006,14496939024
3/5/2022,2618.473633,2679.102539,2596.98999,2664.831055,2664.831055,8072368396
3/6/2022,2664.943604,2673.637207,2555.037354,2555.037354,2555.037354,8872976607
3/7/2022,2555.297607,2639.943115,2455.59375,2497.77124,2497.77124,14594098731
3/8/2022,2497.721436,2618.166016,2489.755127,2576.747559,2576.747559,13922922903
3/9/2022,2577.165283,2761.796387,2573.655273,2729.783447,2729.783447,14173665398
3/10/2022,2729.116455,2729.116455,2566.193115,2608.048584,2608.048584,13292477213
3/11/2022,2608.27124,2664.558594,2534.688232,2559.562988,2559.562988,12382419582
3/12/2022,2559.660645,2606.438721,2559.126953,2574.75415,2574.75415,6532996574
3/13/2022,2573.488037,2594.549805,2503.885254,2518.94458,2518.94458,8632000379
3/14/2022,2518.486328,2604.034424,2505.299316,2590.696045,2590.696045,11244398839
3/15/2022,2590.668945,2662.32959,2515.765869,2620.149658,2620.149658,12861105614
3/16/2022,2620.028564,2781.307129,2610.764404,2772.055664,2772.055664,17915109769
3/17/2022,2771.964111,2826.160645,2751.560791,2814.854492,2814.854492,12685265194
3/18/2022,2814.43457,2973.616211,2774.855713,2945.343018,2945.343018,15830879093
3/19/2022,2944.72168,2979.987061,2910.802246,2946.25708,2946.25708,11576463120
3/20/2022,2946.547607,2956.965576,2826.107422,2860.459229,2860.459229,12684727326
3/21/2022,2860.103271,2954.556641,2838.250488,2897.976563,2897.976563,15206116098
3/22/2022,2897.77417,3040.382813,2892.544434,2973.131104,2973.131104,16830539230
3/23/2022,2973.14502,3036.752197,2933.306641,3031.067139,3031.067139,16008767658
3/24/2022,3031.060791,3118.387695,3012.32666,3108.062012,3108.062012,18070503166
3/25/2022,3108.448975,3183.958008,3087.490723,3106.671387,3106.671387,17030503831
3/26/2022,3106.405273,3146.825439,3091.825439,3143.178955,3143.178955,8876420740
3/27/2022,3143.795654,3291.577637,3129.997803,3291.577637,3291.577637,13431866834
3/28/2022,3292.32251,3424.019287,3279.0271,3336.634521,3336.634521,20620450770
3/29/2022,3335.02124,3470.186279,3335.02124,3401.987793,3401.987793,19533323636
3/30/2022,3401.526123,3435.286133,3349.237061,3385.157959,3385.157959,15302506131
3/31/2022,3385.289307,3435.128418,3272.93457,3281.642822,3281.642822,17685495686
4/1/2022,3282.576172,3467.555908,3223.891357,3449.552246,3449.552246,20982988937
4/2/2022,3449.788574,3521.284668,3442.000244,3445.059326,3445.059326,23571556215
4/3/2022,3444.810547,3573.960205,3421.259766,3522.833496,3522.833496,15333808649
4/4/2022,3522.36499,3535.148193,3422.000977,3521.241211,3521.241211,18209969743
4/5/2022,3521.239746,3546.706787,3410.547607,3411.79248,3411.79248,16681503199
4/6/2022,3411.672119,3411.672119,3171.205078,3171.691895,3171.691895,25632563639
4/7/2022,3172.197266,3263.474609,3155.581055,3233.274658,3233.274658,16745496605
4/8/2022,3233.272461,3301.607422,3179.142334,3192.073975,3192.073975,17557050669
4/9/2022,3191.976074,3261.963135,3187.469238,3261.91626,3261.91626,9908112156
4/10/2022,3261.291504,3303.003174,3211.866943,3211.866943,3211.866943,10427054790
4/11/2022,3209.576904,3214.461914,2962.756592,2981.052246,2981.052246,21891804831
4/12/2022,2981.420654,3077.452637,2957.872314,3030.376465,3030.376465,20235707410
4/13/2022,3029.87793,3123.575439,3006.481689,3118.344238,3118.344238,16088473629
4/14/2022,3117.821777,3139.928711,2988.435303,3019.909424,3019.909424,15821419931
4/15/2022,3020.134521,3044.287354,3001.123291,3040.916504,3040.916504,11256651536
4/16/2022,3041.123291,3074.886963,3016.421143,3062.310303,3062.310303,8766710365
4/17/2022,3061.881836,3075.775879,2989.043945,2993.40332,2993.40332,10463091281
4/18/2022,2993.483887,3062.520996,2893.912842,3057.606689,3057.606689,18629381299
4/19/2022,3057.570313,3125.084229,3035.535156,3104.106445,3104.106445,14156035096
4/20/2022,3103.935059,3157.885742,3045.28833,3077.74585,3077.74585,15547362265
4/21/2022,3077.829346,3173.451416,2962.4104,2987.480713,2987.480713,20783591093
4/22/2022,2986.938721,3024.854492,2942.358643,2964.835693,2964.835693,16782795477
